"Job","Salary","Requirements(The dash(-) means or)"
"Engineering technicians except drafters all other","$64,050","any: Architectural Engineering Technology/Technician - Biomedical Technology/Technician - Chemical Engineering Technology/Technician - Computer Hardware Technology/Technician - Energy Management and Systems Technology/Technician - Environmental Control Technologies/Technicians, Other - Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician - Hydraulics and Fluid Power Technology/Technician - Laser and Optical Technology/Technician - Metallurgical Technology/Technician - Mining Technology/Technician - Packaging Science - Plastics and Polymer Engineering Technology/Technician - Solar Energy Technology/Technician - Welding Engineering Technology/Technician -"
"Engineers all other","$99,250","any: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Environmental engineering technicians","$52,500","Bachelor's Degree: Environmental Engineering Technology/Environmental Technology - Hazardous Materials Information Systems Technology/Technician -"
"Environmental engineers","$88,530","Bachelor's Degree: Environmental/Environmental Health Engineering - Geotechnical and Geoenvironmental Engineering -"
"Fire prevention and protection engineers","$90,190","Bachelor's Degree: Environmental/Environmental Health Engineering -"
"Fuel cell engineers","$89,800","Bachelor's Degree: Electromechanical Engineering - Mechanical Engineering -"
"Geodetic surveyors","$63,480","Bachelor's Degree: Surveying Technology/Surveying -"
"Health and safety engineers except mining safety engineers and inspectors","$90,190","any: Environmental/Environmental Health Engineering -"
"Human factors engineers and ergonomists","$88,530","Master's Degree: Industrial Engineering - Manufacturing Engineering - Packaging Science -"
"Industrial engineering technicians","$56,920","Some College: Chemical Process Technology - Engineering/Industrial Management - Industrial Production Technologies/Technicians, Other - Industrial Technology/Technician - Manufacturing Engineering Technology/Technician - Packaging Science -"
"Industrial engineers","$88,530","Bachelor's Degree: Industrial Engineering - Manufacturing Engineering - Packaging Science -"
"Landscape architects","$68,820","Bachelor's Degree: Environmental Design/Architecture - Landscape Architecture -"
"Manufacturing engineers","$88,530","Bachelor's Degree: Industrial Engineering - Manufacturing Engineering - Packaging Science -"
"Marine architects","$99,860","any: Naval Architecture and Marine Engineering -"
"Marine engineers and naval architects","$99,860","any: Naval Architecture and Marine Engineering -"
"Materials engineers","$97,050","Bachelor's Degree: Ceramic Sciences and Engineering - Materials Engineering - Metallurgical Engineering - Polymer/Plastics Engineering - Textile Sciences and Engineering -"
"Mechanical drafters","$57,480","Associate's Degree: CAD/CADD Drafting and/or Design Technology/Technician - Drafting and Design Technology/Technician, General - Mechanical Drafting and Mechanical Drafting CAD/CADD -"
"Mechanical engineering technicians","$57,180","Bachelor's Degree: Mechanical Engineering Related Technologies/Technicians, Other - Mechanical Engineering/Mechanical Technology/Technician -"
"Mechanical engineers","$89,800","Bachelor's Degree: Electromechanical Engineering - Mechanical Engineering -"
"Mechatronics engineers","$99,250","Bachelor's Degree: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Microsystems engineers","$99,250","Master's Degree: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Mining and geological engineers including mining safety engineers","$103,010","Bachelor's Degree: Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Mining and Mineral Engineering -"
"Nanosystems engineers","$99,250","Master's Degree: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Nanotechnology engineering technicians","$56,920","any: Chemical Process Technology - Engineering/Industrial Management - Industrial Production Technologies/Technicians, Other - Industrial Technology/Technician - Manufacturing Engineering Technology/Technician - Packaging Science -"
"Non destructive testing specialists","$64,050","High School Diploma: Architectural Engineering Technology/Technician - Biomedical Technology/Technician - Chemical Engineering Technology/Technician - Computer Hardware Technology/Technician - Energy Management and Systems Technology/Technician - Environmental Control Technologies/Technicians, Other - Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician - Hydraulics and Fluid Power Technology/Technician - Laser and Optical Technology/Technician - Metallurgical Technology/Technician - Mining Technology/Technician - Packaging Science - Plastics and Polymer Engineering Technology/Technician - Solar Energy Technology/Technician - Welding Engineering Technology/Technician -"
"Nuclear engineers","$105,950","Bachelor's Degree: Nuclear Engineering -"
"Petroleum engineers","$147,030","Bachelor's Degree: Geotechnical and Geoenvironmental Engineering - Petroleum Engineering -"
"Photonics engineers","$99,250","Bachelor's Degree: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Photonics technicians","$64,050","Associate's Degree: Architectural Engineering Technology/Technician - Biomedical Technology/Technician - Chemical Engineering Technology/Technician - Computer Hardware Technology/Technician - Energy Management and Systems Technology/Technician - Environmental Control Technologies/Technicians, Other - Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician - Hydraulics and Fluid Power Technology/Technician - Laser and Optical Technology/Technician - Metallurgical Technology/Technician - Mining Technology/Technician - Packaging Science - Plastics and Polymer Engineering Technology/Technician - Solar Energy Technology/Technician - Welding Engineering Technology/Technician -"
"Radio frequency identification device specialists","$103,760","Bachelor's Degree: Electrical and Electronics Engineering - Electrical, Electronics and Communications Engineering, Other - Telecommunications Engineering -"
"Robotics engineers","$99,250","Bachelor's Degree: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Robotics technicians","$57,860","Associate's Degree: Automation Engineer Technology/Technician - Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other - Electromechanical Technology/Electromechanical Engineering Technology - Instrumentation Technology/Technician - Robotics Technology/Technician -"
"Solar energy systems engineers","$99,250","Bachelor's Degree: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Surveying and mapping technicians","$45,490","any: Surveying Technology/Surveying -"
"Surveying technicians","$45,490","any: Surveying Technology/Surveying -"
"Surveyors","$63,480","Bachelor's Degree: Surveying Technology/Surveying -"
"Transportation engineers","$89,730","Bachelor's Degree: Civil Engineering, General - Civil Engineering, Other - Construction Engineering - Geotechnical and Geoenvironmental Engineering - Structural Engineering - Transportation and Highway Engineering - Water Resources Engineering -"
"Validation engineers","$88,530","Bachelor's Degree: Industrial Engineering - Manufacturing Engineering - Packaging Science -"
"Wind energy engineers","$99,250","Bachelor's Degree: Architectural Engineering - Assistive/Augmentative Technology and Rehabilitation Engineering - Biochemical Engineering - Biological/Biosystems Engineering - Chemical and Biomolecular Engineering - Construction Engineering - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Laser and Optical Engineering - Manufacturing Engineering - Mechatronics, Robotics, and Automation Engineering - Nanotechnology - Ocean Engineering - Paper Science and Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering -"
"Actors","$82,867*","Some High School: Acting - Directing and Theatrical Production - Drama and Dramatics/Theatre Arts, General - Dramatic/Theatre Arts and Stagecraft, Other - Musical Theatre -"
"Art directors","$101,170","Bachelor's Degree: Digital Arts - Graphic Design - Intermedia/Multimedia -"
"Artists and related workers all other","$64,630","any: Commercial and Advertising Art - Crafts/Craft Design, Folk Art and Artisanry - Digital Arts - Fine Arts and Art Studies, Other - Fine/Studio Arts, General - Graphic Design - Illustration - Visual and Performing Arts, General -"
"Athletes and sports competitors","$83,730","Some High School: Health and Physical Education/Fitness, General -"
"Broadcast technicians","$45,430","Associate's Degree: Audiovisual Communications Technologies/Technicians, Other - Communications Technology/Technician - Radio and Television Broadcasting Technology/Technician -"
"Choreographers","$53,610","Bachelor's Degree: Ballet - Dance, General - Dance, Other - Musical Theatre -"
"Coaches and scouts","$41,000","Bachelor's Degree: Health and Physical Education/Fitness, General - Physical Education Teaching and Coaching - Sport and Fitness Administration/Management -"
"Commercial and industrial designers","$70,880","Bachelor's Degree: Commercial and Advertising Art - Design and Visual Communications, General - Energy Management and Systems Technology/Technician - Industrial and Product Design - Packaging Science -"
"Craft artists","$38,900","Bachelor's Degree: Art/Art Studies, General - Ceramic Arts and Ceramics - Crafts/Craft Design, Folk Art and Artisanry - Drawing - Fiber, Textile and Weaving Arts - Metal and Jewelry Arts - Painting - Printmaking - Sculpture - Visual and Performing Arts, General -"
"Dancers","$38,043*","High School Diploma: Ballet - Dance, General - Dance, Other - Musical Theatre -"
"Designers all other","$63,270","any: Design and Visual Communications, General - Illustration - Industrial and Product Design -"
"Editors","$66,080","Bachelor's Degree: Broadcast Journalism - Business/Corporate Communications - Children's and Adolescent Literature - Communication, General - Communication, Journalism, and Related Programs, Other - Creative Writing - General Literature - Journalism - Literature, Other - Mass Communication/Media Studies - Professional, Technical, Business, and Scientific Writing - Publishing - Rhetoric and Composition - Rhetoric and Composition/Writing Studies, Other - Technical and Scientific Communication - Writing, General -"
"Entertainers and performers sports and related workers all other","$48,256*","any: Directing and Theatrical Production - Drama and Dramatics/Theatre Arts, General - Dramatic/Theatre Arts and Stagecraft, Other - Sports Communication -"
"Fashion designers","$76,480","Associate's Degree: Apparel and Textile Manufacture - Costume Design - Fashion and Fabric Consultant - Fashion/Apparel Design - Textile Science -"
"Film and video editors","$82,190","Bachelor's Degree: Audiovisual Communications Technologies/Technicians, Other - Cinematography and Film/Video Production - Communications Technology/Technician - Documentary Production - Photojournalism - Radio and Television Broadcasting Technology/Technician - Radio and Television -"
"Fine artists including painters sculptors and illustrators","$57,410","Some College: Art/Art Studies, General - Ceramic Arts and Ceramics - Drawing - Fine Arts and Art Studies, Other - Fine/Studio Arts, General - Intermedia/Multimedia - Medical Illustration/Medical Illustrator - Painting - Printmaking - Sculpture - Visual and Performing Arts, General -"
"Floral designers","$27,610","High School Diploma: Art Directors - Craft Artists - Fine Artists, Including Painters, Sculptors, and Illustrators - Special Effects Artists and Animators - Artists and Related Workers, All Other - Commercial and Industrial Designers - Fashion Designers - Graphic Designers - Interior Designers - Merchandise Displayers and Window Trimmers - Set and Exhibit Designers - Designers, All Other -"
"Graphic designers","$52,290","Bachelor's Degree: Agricultural Communication/Journalism - Commercial and Advertising Art - Computer Graphics - Design and Visual Communications, General - Digital Arts - Graphic Design - Industrial and Product Design - Web Page, Digital/Multimedia and Information Resources Design -"
"Interior designers","$56,220","Bachelor's Degree: Facilities Planning and Management - Interior Architecture - Interior Design - Textile Science -"
"Interpreters and translators","$51,260","Bachelor's Degree: African Languages, Literatures, and Linguistics - Albanian Language and Literature - American Indian/Native American Languages, Literatures, and Linguistics - American Sign Language (ASL) - American Sign Language, Other - Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics - Ancient/Classical Greek Language and Literature - Applied Linguistics - Arabic Language and Literature - Australian/Oceanic/Pacific Languages, Literatures, and Linguistics - Baltic Languages, Literatures, and Linguistics - Bengali Language and Literature - Bosnian, Serbian, and Croatian Languages and Literatures - Bulgarian Language and Literature - Burmese Language and Literature - Catalan Language and Literature - Celtic Languages, Literatures, and Linguistics - Chinese Language and Literature - Classics and Classical Languages, Literatures, and Linguistics, General - Classics and Classical Languages, Literatures, and Linguistics, Other - Czech Language and Literature - Danish Language and Literature - Deaf Studies - Dutch/Flemish Language and Literature - East Asian Languages, Literatures, and Linguistics, General - East Asian Languages, Literatures, and Linguistics, Other - Education/Teaching of Individuals with Hearing Impairments Including Deafness - Filipino/Tagalog Language and Literature - Foreign Languages and Literatures, General - Foreign Languages, Literatures, and Linguistics, Other - French Language and Literature - German Language and Literature - Germanic Languages, Literatures, and Linguistics, General - Germanic Languages, Literatures, and Linguistics, Other - Hebrew Language and Literature - Hindi Language and Literature - Hispanic and Latin American Languages, Literatures, and Linguistics, General - Hungarian/Magyar Language and Literature - Indonesian/Malay Languages and Literatures - Iranian Languages, Literatures, and Linguistics - Italian Language and Literature - Japanese Language and Literature - Khmer/Cambodian Language and Literature - Korean Language and Literature - Language Interpretation and Translation - Lao Language and Literature - Latin Language and Literature - Linguistics of ASL and Other Sign Languages - Linguistics - Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General - Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other - Modern Greek Language and Literature - Mongolian Language and Literature - Norwegian Language and Literature - Polish Language and Literature - Portuguese Language and Literature - Punjabi Language and Literature - Romance Languages, Literatures, and Linguistics, General - Romance Languages, Literatures, and Linguistics, Other - Romanian Language and Literature - Russian Language and Literature - Sanskrit and Classical Indian Languages, Literatures, and Linguistics - Scandinavian Languages, Literatures, and Linguistics - Sign Language Interpretation and Translation - Slavic Languages, Literatures, and Linguistics, General - Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other - Slovak Language and Literature - South Asian Languages, Literatures, and Linguistics, General - South Asian Languages, Literatures, and Linguistics, Other - Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other - Southeast Asian Languages, Literatures, and Linguistics, General - Spanish Language and Literature - Swedish Language and Literature - Tamil Language and Literature - Thai Language and Literature - Tibetan Language and Literature - Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other - Turkish Language and Literature - Ukrainian Language and Literature - Uralic Languages, Literatures, and Linguistics - Urdu Language and Literature - Vietnamese Language and Literature -"
"Media and communication equipment workers all other","$76,500","any: Audio and Video Technicians - Broadcast Technicians - Sound Engineering Technicians - Lighting Technicians - Photographers - Camera Operators, Television, Video, and Film - Film and Video Editors -"
"Media and communication workers all other","$50,860","any: Communications Technology/Technician - Digital Communication and Media/Multimedia -"
"Merchandise displayers and window trimmers","$30,090","High School Diploma: Art Directors - Craft Artists - Fine Artists, Including Painters, Sculptors, and Illustrators - Special Effects Artists and Animators - Artists and Related Workers, All Other - Commercial and Industrial Designers - Fashion Designers - Floral Designers - Graphic Designers - Interior Designers - Set and Exhibit Designers - Designers, All Other -"
"Music directors and composers","$60,630","any: Conducting - Music Management - Music Performance, General - Music Technology - Music Theory and Composition - Music, Other - Musical Theatre - Musicology and Ethnomusicology - Religious/Sacred Music - Voice and Opera -"
"Musicians and singers","$71,885*","any: Brass Instruments - Jazz/Jazz Studies - Keyboard Instruments - Music Pedagogy - Music Performance, General - Music, General - Music, Other - Musical Theatre - Percussion Instruments - Stringed Instruments - Voice and Opera - Woodwind Instruments -"
"Photographers","$42,640","High School Diploma: Art/Art Studies, General - Commercial Photography - Digital Arts - Photography - Photojournalism - Visual and Performing Arts, General -"
"Poets lyricists and creative writers","$71,920","Bachelor's Degree: Broadcast Journalism - Business/Corporate Communications - Children's and Adolescent Literature - Communication, General - Communication, Journalism, and Related Programs, Other - Creative Writing - Family and Consumer Sciences/Human Sciences Communication - General Literature - Journalism - Literature, Other - Mass Communication/Media Studies - Playwriting and Screenwriting - Professional, Technical, Business, and Scientific Writing - Rhetoric and Composition - Rhetoric and Composition/Writing Studies, Other - Speech Communication and Rhetoric - Writing, General -"
"Producers and directors","$93,840","any: Cinematography and Film/Video Production - Directing and Theatrical Production - Documentary Production - Drama and Dramatics/Theatre Arts, General - Dramatic/Theatre Arts and Stagecraft, Other - Film/Cinema/Video Studies - Musical Theatre - Radio and Television - Theatre/Theatre Arts Management -"
"Public relations specialists","$66,540","Bachelor's Degree: Communication, General - Family and Consumer Sciences/Human Sciences Communication - Health Communication - International and Intercultural Communication - Political Communication - Public Relations, Advertising, and Applied Communication - Public Relations/Image Management - Speech Communication and Rhetoric - Sports Communication -"
"Set and exhibit designers","$57,600","Bachelor's Degree: Design and Visual Communications, General - Illustration - Technical Theatre/Theatre Design and Technology -"
"Sound engineering technicians","$65,240","Associate's Degree: Communications Technology/Technician - Music Technology - Recording Arts Technology/Technician -"
"Talent directors","$93,840","Bachelor's Degree: Cinematography and Film/Video Production - Directing and Theatrical Production - Documentary Production - Drama and Dramatics/Theatre Arts, General - Dramatic/Theatre Arts and Stagecraft, Other - Film/Cinema/Video Studies - Musical Theatre - Radio and Television - Theatre/Theatre Arts Management -"
"Technical writers","$73,160","Associate's Degree: Business/Corporate Communications - Family and Consumer Sciences/Human Sciences Communication - Professional, Technical, Business, and Scientific Writing - Technical and Scientific Communication - Writing, General -"
"Umpires referees and other sports officials","$35,540","High School Diploma: Actors - Producers and Directors - Media Programming Directors - Talent Directors - Media Technical Directors/Managers - Athletes and Sports Competitors - Coaches and Scouts - Dancers - Choreographers - Music Directors and Composers - Musicians and Singers - Disc Jockeys, Except Radio - Entertainers and Performers, Sports and Related Workers, All Other -"
"Writers and authors","$71,920","any: Broadcast Journalism - Business/Corporate Communications - Children's and Adolescent Literature - Communication, General - Communication, Journalism, and Related Programs, Other - Creative Writing - Family and Consumer Sciences/Human Sciences Communication - General Literature - Journalism - Literature, Other - Mass Communication/Media Studies - Playwriting and Screenwriting - Professional, Technical, Business, and Scientific Writing - Rhetoric and Composition - Rhetoric and Composition/Writing Studies, Other - Speech Communication and Rhetoric - Writing, General -"
"Building cleaning workers all other","$30,960","any: Janitors and Cleaners, Except Maids and Housekeeping Cleaners - Maids and Housekeeping Cleaners - Pest Control Workers -"
"First line supervisors of housekeeping and janitorial workers","$41,240","High School Diploma: Building/Property Maintenance -"
"First line supervisors of landscaping lawn service and groundskeeping workers","$48,790","Associate's Degree: Applied Horticulture/Horticulture Operations, General - Golf Course Operation and Grounds Management - Greenhouse Operations and Management - Landscaping and Groundskeeping - Ornamental Horticulture - Plant Nursery Operations and Management - Turf and Turfgrass Management -"
"Grounds maintenance workers all other","$32,930","any: Landscaping and Groundskeeping Workers - Pesticide Handlers, Sprayers, and Applicators, Vegetation - Tree Trimmers and Pruners -"
"Janitors and cleaners except maids and housekeeping cleaners","$27,030","High School Diploma: Maids and Housekeeping Cleaners - Building Cleaning Workers, All Other - Pest Control Workers -"
"Landscaping and groundskeeping workers","$28,560","Some High School: Pesticide Handlers, Sprayers, and Applicators, Vegetation - Tree Trimmers and Pruners - Grounds Maintenance Workers, All Other -"
"Maids and housekeeping cleaners","$23,830","Some High School: Janitors and Cleaners, Except Maids and Housekeeping Cleaners - Building Cleaning Workers, All Other - Pest Control Workers -"
"Pest control workers","$35,020","High School Diploma: Janitors and Cleaners, Except Maids and Housekeeping Cleaners - Maids and Housekeeping Cleaners - Building Cleaning Workers, All Other -"
"Pesticide handlers sprayers and applicators vegetation","$35,720","High School Diploma: Landscaping and Groundskeeping - Plant Nursery Operations and Management - Turf and Turfgrass Management -"
"Tree trimmers and pruners","$37,310","Some High School: Landscaping and Groundskeeping Workers - Pesticide Handlers, Sprayers, and Applicators, Vegetation - Grounds Maintenance Workers, All Other -"
"Accountants and auditors","$76,730","any: Accounting and Business/Management - Accounting and Computer Science - Accounting and Finance - Accounting - Auditing - Financial Forensics and Fraud Investigation - Taxation -"
"Agents and business managers of artists performers and athletes","$86,560","Bachelor's Degree: Arts, Entertainment, and Media Management, Other - Arts, Entertainment,and Media Management, General - Fine and Studio Arts Management - Purchasing, Procurement/Acquisitions and Contracts Management - Sports Communication -"
"Appraisers and assessors of real estate","$58,030","any: Real Estate Development - Real Estate -"
"Appraisers real estate","$58,030","any: Real Estate Development - Real Estate -"
"Budget analysts","$77,170","Bachelor's Degree: Accounting and Finance - Accounting - Finance, General - Public Finance -"
"Business continuity planners","$74,870","Bachelor's Degree: Management Analysts - Meeting, Convention, and Event Planners - Fundraisers - Compensation, Benefits, and Job Analysis Specialists - Training and Development Specialists - Market Research Analysts and Marketing Specialists - Search Marketing Strategists - Business Operations Specialists, All Other - Sustainability Specialists - Online Merchants - Security Management Specialists -"
"Business operations specialists all other","$74,870","any: Management Analysts - Meeting, Convention, and Event Planners - Fundraisers - Compensation, Benefits, and Job Analysis Specialists - Training and Development Specialists - Market Research Analysts and Marketing Specialists - Search Marketing Strategists - Business Continuity Planners - Sustainability Specialists - Online Merchants - Security Management Specialists -"
"Buyers and purchasing agents farm products","$63,910","Bachelor's Degree: Agricultural/Farm Supplies Retailing and Wholesaling -"
"Claims adjusters examiners and investigators","$64,990","any: Health/Medical Claims Examiner - Insurance -"
"Compensation benefits and job analysis specialists","$66,490","Bachelor's Degree: Human Resources Management/Personnel Administration, General -"
